Date,Bitcoin Price Percentage Change (%),Bitcoin Price (USD)
2017-12-03,3.2914190356295947,11290.0
2017-12-04,3.135341009743132,11643.98
2017-12-05,0.6386991389542133,11718.35
2017-12-06,20.23877081671054,14090.0
2017-12-07,23.42093683463448,17390.01
2017-12-08,-5.882572810481408,16367.03
2017-12-09,-6.458410597402223,15309.98
2017-12-10,-0.1304377928645194,15290.01
2017-12-11,10.436553017296903,16885.76
2017-12-12,5.000426394784721,17730.12
2017-12-13,-5.868601002136469,16689.61
2017-12-14,0.36052370307034287,16749.78
2017-12-15,5.90389843926308,17738.67
2017-12-16,10.774990458698428,19650.01
2017-12-17,-1.3792359393201166,19378.99
2017-12-18,-1.7543741959720458,19039.01
2017-12-19,-6.30431939475844,17838.73
2017-12-20,-7.522060146658423,16496.89
2017-12-21,-4.474116030354813,15758.8
2017-12-22,-9.824542477853642,14210.57
2017-12-23,6.089270170021327,15075.89
2017-12-24,-5.6643422046724865,14221.94
2017-12-25,-0.35128822087563966,14171.98
2017-12-26,11.423245022925517,15790.88
2017-12-27,-2.6838276270860097,15367.08
2017-12-28,-5.967757049485002,14450.01
2017-12-29,0.7961240165231654,14565.05
2017-12-30,-11.843831638065092,12839.99
2017-12-31,7.9683862682135995,13863.13
2018-01-01,-2.763589463562695,13480.01
2018-01-02,9.655037347895142,14781.51
2018-01-03,2.142068029585605,15098.14
2018-01-04,0.31030312343110056,15144.99
2018-01-05,11.98429315569042,16960.01
2018-01-06,0.8194570639993916,17098.99
2018-01-07,-5.4083311353477725,16174.22
2018-01-08,-7.2985281515893785,14993.74
2018-01-09,-3.4197605133875877,14480.99
2018-01-10,2.7221205180032615,14875.18
2018-01-11,-10.535133020239087,13308.06
2018-01-12,3.8468416884204046,13820.0
2018-01-13,2.662445730824897,14187.95
2018-01-14,-3.7476872980240357,13656.23
2018-01-15,-0.4849801153026828,13590.0
2018-01-16,-14.863796909492272,11570.01
2018-01-17,-3.1979229058574714,11200.01
2018-01-18,0.9421420159446325,11305.53
2018-01-19,1.7111979712583054,11498.99
2018-01-20,10.990617436835752,12762.8
2018-01-21,-9.752013664713067,11518.17
2018-01-22,-6.524213481829139,10766.7
2018-01-23,0.5409271178726981,10824.94
2018-01-24,4.913191204754948,11356.79
2018-01-25,-2.102618785766056,11118.0
2018-01-26,-0.27981651376147315,11086.89
2018-01-27,2.0935537377930205,11319.0
2018-01-28,1.91713048855906,11536.0
2018-01-29,-3.580010402219138,11123.01
2018-01-30,-10.141229757053173,9995.0
2018-01-31,1.050425212606301,10099.99
2018-02-01,-10.750109653573917,9014.23
2018-02-02,-2.51502346844932,8787.52
2018-02-03,5.149120570991583,9240.0
2018-02-04,-11.60270562770563,8167.91
2018-02-05,-15.459523917379112,6905.19
2018-02-06,11.343207065989503,7688.46
2018-02-07,-1.4659632748300706,7575.75
2018-02-08,8.479028479028484,8218.1
2018-02-09,5.511127876273102,8671.01
2018-02-10,-1.4245168671239041,8547.49
2018-02-11,-5.551337293170276,8072.99
2018-02-12,9.900792643122323,8872.28
2018-02-13,-3.970456297592055,8520.01
2018-02-14,11.185080768684536,9472.98
2018-02-15,5.893076940941499,10031.23
2018-02-16,1.3583578484393262,10167.49
2018-02-17,9.382945053302242,11121.5
2018-02-18,-6.666906442476277,10380.04
2018-02-19,7.321359069907237,11140.0
2018-02-20,0.8578994614003564,11235.57
2018-02-21,-6.953808307010675,10454.27
2018-02-22,-5.971435595216121,9830.0
2018-02-23,3.2043743641912488,10144.99
2018-02-24,-4.498476587951284,9688.62
2018-02-25,-0.9354273364008601,9597.99
2018-02-26,7.314135563800339,10300.0
2018-02-27,2.5880582524271816,10566.57
2018-02-28,-2.4539656671937937,10307.27
2018-03-01,5.711017563331509,10895.92
2018-03-02,0.9552199355355026,11000.0
2018-03-03,3.931818181818182,11432.5
2018-03-04,0.3271375464683983,11469.9
2018-03-05,-0.8052380578732051,11377.54
2018-03-06,-5.955065857821645,10700.0
2018-03-07,-7.289719626168225,9920.0
2018-03-08,-6.2006048387096815,9304.9
2018-03-09,-0.5362765854549714,9255.0
2018-03-10,-4.9655321447865965,8795.44
2018-03-11,8.395714142783063,9533.88
2018-03-12,-4.341149668340689,9120.0
2018-03-13,0.27861842105262996,9145.41
2018-03-14,-10.260666279587237,8207.03
2018-03-15,0.6453004314593601,8259.99
2018-03-16,0.18171934832851153,8275.0
2018-03-17,-4.954441087613288,7865.02
2018-03-18,4.157395658243711,8192.0
2018-03-19,4.84619140625,8589.0
2018-03-20,3.620910466876237,8900.0
2018-03-21,-0.09202247191011809,8891.81
2018-03-22,-1.987446875270607,8715.09
2018-03-23,2.4326771152105167,8927.1
2018-03-24,-4.4332425983802155,8531.34
2018-03-25,-0.9182613751180957,8453.0
2018-03-26,-3.6436768011356917,8145.0
2018-03-27,-4.314180478821367,7793.61
2018-03-28,1.9132340468666071,7942.72
2018-03-29,-10.861896176624638,7079.99
2018-03-30,-3.2765583002235816,6848.01
2018-03-31,1.1753779565158313,6928.5
2018-04-01,-1.6235837482860616,6816.01
2018-04-02,3.3597368548461635,7045.01
2018-04-03,5.392327335234434,7424.9
2018-04-04,-8.528330347883465,6791.68
2018-04-05,-0.08584032227666685,6785.85
2018-04-06,-2.458645563930829,6619.01
2018-04-07,4.154699872035244,6894.01
2018-04-08,1.827673589101263,7020.01
2018-04-09,-3.545294095022658,6771.13
2018-04-10,0.7954359169001285,6824.99
2018-04-11,1.7289402621835341,6942.99
2018-04-12,14.014279150625311,7916.0
2018-04-13,-0.2881505811015715,7893.19
2018-04-14,1.392592855360128,8003.11
2018-04-15,4.400039484650346,8355.25
2018-04-16,-3.6661978995242475,8048.93
2018-04-17,-1.9484577453152148,7892.1
2018-04-18,3.293800129243165,8152.05
2018-04-19,1.4959427383296202,8274.0
2018-04-20,7.15820642978004,8866.27
2018-04-21,0.5543481080544539,8915.42
2018-04-22,-1.350581352308695,8795.01
2018-04-23,1.5496287099161803,8931.3
2018-04-24,8.046980842654495,9650.0
2018-04-25,-8.124559585492234,8865.98
2018-04-26,4.58076828506269,9272.11
2018-04-27,-3.7700156706510306,8922.55
2018-04-28,4.566407585275516,9329.99
2018-04-29,0.6325837433909408,9389.01
2018-04-30,-1.5463824194457192,9243.82
2018-05-01,-1.8556181318978393,9072.29
2018-05-02,1.3027581790264495,9190.48
2018-05-03,5.824070124737775,9725.74
2018-05-04,-0.4188884341962646,9685.0
2018-05-05,1.1874032008260196,9800.0
2018-05-06,-2.0408163265306123,9600.0
2018-05-07,-2.5390625,9356.25
2018-05-08,-1.9071743486974002,9177.81
2018-05-09,1.3322350321046137,9300.08
2018-05-10,-3.1136291300719963,9010.51
2018-05-11,-6.738575285971607,8403.33
2018-05-12,0.8528761812281568,8475.0
2018-05-13,2.490855457227143,8686.1
2018-05-14,-0.18535361094162353,8670.0
2018-05-15,-2.2207612456747508,8477.46
2018-05-16,-1.5742922998162083,8344.0
2018-05-17,-3.415627996164909,8059.0
2018-05-18,2.227447574140715,8238.51
2018-05-19,-0.035321921075532524,8235.6
2018-05-20,3.415173150711547,8516.86
2018-05-21,-1.4491256167178992,8393.44
2018-05-22,-4.834013229379142,7987.7
2018-05-23,-6.043041175807802,7505.0
2018-05-24,1.054630246502327,7584.15
2018-05-25,-1.6487015684025232,7459.11
2018-05-26,-1.6243224727883068,7337.95
2018-05-27,0.11842544579890174,7346.64
2018-05-28,-3.2491043524658987,7107.94
2018-05-29,4.95305250185005,7460.0
2018-05-30,-1.0722520107238576,7380.01
2018-05-31,1.422626798608671,7485.0
2018-06-01,0.3917167668670635,7514.32
2018-06-02,1.6248975289846634,7636.42
2018-06-03,0.9160051437715555,7706.37
2018-06-04,-2.841804896468765,7487.37
2018-06-05,1.6713478831685935,7612.51
2018-06-06,0.5581601863248755,7655.0
2018-06-07,0.3909862834748568,7684.93
2018-06-08,-0.8601249458355555,7618.83
2018-06-09,-1.606939648213706,7496.4
2018-06-10,-9.685849207619649,6770.31
2018-06-11,1.63493252155366,6881.0
2018-06-12,-4.883156517947976,6544.99
2018-06-13,-3.7077214785660493,6302.32
